comments,scores,movies
"　　 这无疑是我看过的最烂的一部科幻片！ 
　　 首先设定就有问题，外星人如果能够来到地球，那么他们的智慧至少高出人类一千倍，绝对不可能是处在腐食动物的阶段，甚至身体的能量循环方式都不一样。
    典型的人类自我狂妄意识！",1,变形金刚
   最后是回老家的时候把电影看完的 不管怎么说还是挺经典的电影 虽然我真的不喜欢这个金凯瑞,3,变形金刚
- - #　第一部的最后和第二部差别太大了。,3,变形金刚
"　　&#34;This Visage, no mere Veneer of Vanity, is it Vestige of the Vox populi, now Vacant, Vanished, as the once Vital Voice of the Verisimilitude now Venerates what they once Vilified...and so it is my Very good honor to meet you and you may call me V.&#34; ",5,变形金刚
　　★美国电影学院十佳影片 ★洛杉矶影评人协会最佳男配角Heath Ledger、影片第二名、导演第二名、艺术指导第二名 ★华盛顿影评人协会最佳男配角Heath Ledger ★国家评论协会奖年度十佳 ★波士顿影评人协会最佳男配角Heath Ledger ★《滚石》年度十佳NO.3 ★《纽约时报》之曼诺拉·达吉斯年度十佳NO.7,5,变形金刚
　　★美国电影学院十佳影片 ★纽约影评人协会最佳动画片 ★洛杉矶影评人协会最佳影片 ★华盛顿影评人协会最佳动画片 ★国家评论协会奖年度十佳、最佳动画片 ★波士顿影评人协会最佳影片、动画片 ★《时代》年度十佳NO.1 ★《滚石》年度十佳NO.5 ★《纽约志》年度十佳NO.2 ★《纽约客》年度十佳NO.6 ★《纽约邮报》年度十佳NO.2 ★《视与听》年度十佳NO.3 ★《纽约时报》之A.O.斯科特年度十佳NO.1 ★《纽约时报》之斯蒂芬·霍尔顿年度十佳NO.3 ★罗杰·艾伯特08年20佳片 ★斯蒂芬·金08年,5,变形金刚
　　2012年12月14日晚，CCTV-6破天荒播出电影《V字别动队》，更在微博上引起热议。这部曾经一度禁播的电影自上映以来首次在大陆公映，该片中的经典台词“人民不应该害怕政府，政府应该害怕人民”、“艺术家用谎言道出真相，政客用谎言掩盖真相”等，在网上广为流传。广电如此开放的举动让网民大感意外,2,变形金刚
"　　No fear. No distractions. The ability to let that which does not matter truly slide. 
　　抛弃一切，才有自由。有一种能力看透并抛弃，不在乎失去一切。",5,变形金刚
  把这三部连起来看，觉得真的很不错,3,变形金刚
"  悲剧啊·       我都没看完 · ·
",2,变形金刚
  剥开这部影片华丽的视觉效果的外壳，隐藏的却是一个蠢到家的故事，老套的要命的毁灭宇宙的故事，父子的情感戏下了功夫，但还是停留在表层，且让我不断出戏。那些搞笑的桥段其实一点也不好笑，那种自以为高明的笑点还是看得人尴尬症直犯。唯一有趣的还是那些怀旧金曲了。,2,变形金刚
  不管起初是不是背叛，只要回归了，就得以救赎。,4,变形金刚
  畅想未来,3,变形金刚
  吵…,1,变形金刚
  但是看的感觉乱七八糟,2,变形金刚
  当年一个暧昧女生请我看的，被迫看这种我不喜欢类型的电影，影院空调又冷，真痛苦,1,变形金刚
　　广告诱惑我们买车子，衣服 ，于是拼命工作买不需要的东西 ，我们是被历史遗忘的一代 ，没有目的，没有地位 ，没有世界大战 ，没有经济大萧条 ，我们的大战只是心灵之战 ，　我们的大萧条只是我们的生活~,5,变形金刚
  还是一样的风格~,3,变形金刚
  很好，但没有预期那么好，况且片子片长还不到九十分钟，怎么看都有圈钱的嫌疑，相比之下，《美国往事》就太值得人尊敬了,4,变形金刚
  很一般。上来的亚洲女好丑,2,变形金刚
"  虎头蛇尾.
当长官甩出那颗榴时.我们终于知道美国队长也只不过是一个被洗脑的活雷锋...",2,变形金刚
  回想一下，这系列都很好看,5,变形金刚
  记得当时看了结局，很感伤,5,变形金刚
  杰克船长还是那个不一样的妖艳贱货，配角反派还是走恶心路线，Imax效果真心不错，故事无脑看看，不追求什么啦。,3,变形金刚
  剧情确实很弱！就为了看看斯坦森~,2,变形金刚
  开头那沉闷的二十多分钟，实在难熬,2,变形金刚
